City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
261,Russellville,US,76.73,broken clouds,35.2784,-93.1338,Hampton Inn Russellville
268,Aktau,KZ,84.78,clear sky,43.65,51.2,Silk Way Hotel
278,Lorengau,PG,85.55,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
280,Ewa Beach,US,84.15,clear sky,21.3156,-158.0072,Uncle Junior Robert
286,Mengcheng,CN,88.97,moderate rain,33.2579,116.5655,Jinliang Hotel
287,Cockburn Town,TC,82.02,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
290,Ternate,ID,84.34,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
296,Spokane,US,78.82,smoke,47.6166,-117.3677,Madison Inn by Riversage
299,Nizhniy Baskunchak,RU,87.01,clear sky,48.2198,46.8311,Arman hotel
302,Makakilo City,US,82.72,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
303,Meulaboh,ID,83.55,overcast clouds,4.1363,96.1285,Kost Pria
306,Chatakonda,IN,85.12,overcast clouds,17.55,80.65,Hotel Surya Palace
307,Sola,VU,76.03,broken clouds,-13.8833,167.55,Leumerus Bungalows
312,Lazaro Cardenas,MX,80.49,few clouds,17.9583,-102.2,quinta antigua
316,Miles City,US,83.37,clear sky,46.4083,-105.8406,FairBridge Inn & Suites Miles City
321,Linxi,CN,81.05,clear sky,39.7,118.4333,Peace Hotel
323,Praia,CV,75.11,scattered clouds,14.9215,-23.5087,LT Aparthotel
327,Smithers,CA,75.56,clear sky,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
330,Airai,TL,77.59,few clouds,-8.9266,125.4092,Juvinal Martin
331,Kamaishi,JP,83.25,scattered clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
333,Peto,MX,75.92,broken clouds,20.1333,-88.9167,Hotel D'Rodi&Eve
334,Honiara,SB,80.73,broken clouds,-9.4333,159.95,Heritage Park Hotel
335,Rio Tuba,PH,84.36,broken clouds,8.5061,117.4317,Jjas Pension House
336,Harper,LR,76.24,overcast clouds,4.375,-7.7169,Screensaver
341,Tatawin,TN,77.67,clear sky,32.9297,10.4518,Sangho Privilege Tataouine
343,Les Cayes,HT,78.62,scattered clouds,18.2,-73.75,Villa Orphee
345,Tokmak,UA,76.08,clear sky,47.2514,35.7058,Дом приезжих
347,The Valley,AI,81.82,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
349,Namtsy,RU,84.31,overcast clouds,62.7161,129.6658,"""Эңсиэли Киин"""
353,Labuhan,ID,87.49,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
