City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Kargasok,RU,59.0556,80.8572,62.62,65,100,8.14,overcast clouds
81,Mehamn,NO,71.0357,27.8492,46.58,81,75,8.05,moderate rain
82,Jamestown,US,42.097,-79.2353,62.19,95,90,1.01,overcast clouds
83,Ponta Do Sol,PT,32.6667,-17.1,72.23,80,2,4.7,clear sky
84,Kyra,RU,49.5776,111.9753,72.64,59,87,12.08,light rain
85,Cockenzie,GB,55.9682,-2.9656,51.76,89,98,3.85,overcast clouds
86,Virginia Beach,US,36.8529,-75.978,76.01,88,75,0.0,broken clouds
87,Avarua,CK,-21.2078,-159.775,77.05,88,40,11.5,light rain
88,Portland,US,45.5234,-122.6762,82.42,61,20,1.99,few clouds
89,Pangnirtung,CA,66.1451,-65.7125,50.54,82,100,0.34,overcast clouds
90,Naryan-Mar,RU,67.6713,53.087,55.15,71,54,6.91,broken clouds
91,Husavik,IS,66.0449,-17.3389,53.58,73,100,1.39,overcast clouds
92,Caravelas,BR,-17.7125,-39.2481,66.99,74,74,8.12,broken clouds
93,Camacha,PT,33.0833,-16.3333,68.76,83,40,14.97,scattered clouds
94,Santana Do Acarau,BR,-3.4606,-40.2122,73.65,62,43,4.43,scattered clouds
95,Kuytun,RU,54.3419,101.5036,55.31,97,100,9.57,light rain
96,Pundaguitan,PH,6.3711,126.1689,84.7,72,99,13.71,overcast clouds
97,Pitimbu,BR,-7.4706,-34.8086,72.19,85,35,16.06,scattered clouds
98,Cherskiy,RU,68.75,161.3,43.88,66,72,21.47,broken clouds
99,Coahuayana,MX,18.7333,-103.6833,79.54,87,64,0.4,broken clouds
100,Isangel,VU,-19.55,169.2667,75.31,69,75,9.22,broken clouds
101,Ciudad Dario,NI,12.7314,-86.124,73.18,76,75,7.29,broken clouds
102,Gravdal,NO,68.1214,13.5031,48.45,77,100,13.13,overcast clouds
103,Kudahuvadhoo,MV,2.6708,72.8944,81.99,73,71,7.49,broken clouds
104,Road Town,VG,18.4167,-64.6167,80.2,75,0,14.29,clear sky
105,Aldan,RU,58.6031,125.3894,56.08,94,100,2.21,overcast clouds
106,Vredendal,ZA,-31.6683,18.5012,50.23,79,14,3.67,few clouds
107,Codrington,AU,-38.2667,141.9667,57.83,67,12,20.62,few clouds
108,Bluff,NZ,-46.6,168.3333,44.8,91,100,12.84,moderate rain
109,Sao Filipe,CV,14.8961,-24.4956,75.25,76,16,0.89,few clouds
110,Saskylakh,RU,71.9167,114.0833,81.12,33,8,9.46,clear sky
111,Asau,RO,46.4333,26.4,73.76,76,24,5.97,few clouds
112,Launceston,AU,-41.45,147.1667,54.81,88,75,1.99,broken clouds
113,Kimitsu,JP,35.3253,139.8911,96.24,66,75,9.22,light intensity shower rain
114,Upernavik,GL,72.7868,-56.1549,41.38,82,2,10.4,clear sky
115,Mar Del Plata,AR,-38.0023,-57.5575,41.09,1,0,5.01,clear sky
116,Bredasdorp,ZA,-34.5322,20.0403,55.27,93,100,7.83,overcast clouds
117,Conde,BR,-7.2597,-34.9075,71.06,94,0,8.05,clear sky
118,Minsk,BY,53.9,27.5667,65.95,92,100,11.81,heavy intensity rain
119,Robertsport,LR,6.7533,-11.3686,77.67,77,100,11.59,overcast clouds
120,Nikolskoye,RU,59.7035,30.7861,60.03,76,100,4.83,overcast clouds
121,Yumen,CN,40.2833,97.2,74.32,31,65,4.14,broken clouds
122,Rocha,UY,-34.4833,-54.3333,43.84,96,0,3.33,clear sky
123,Iranshahr,IR,27.2025,60.6848,96.39,32,9,2.62,clear sky
124,Saint Anthony,US,45.0205,-93.218,68.14,68,1,0.0,clear sky
125,Karratha,AU,-20.7377,116.8463,74.73,27,0,17.49,clear sky
126,Khorramshahr,IR,30.4397,48.1664,99.19,10,0,7.31,clear sky
127,Tessalit,ML,20.1986,1.0114,84.94,47,88,12.97,overcast clouds
128,Chegdomyn,RU,51.1167,133.0167,68.83,78,100,4.23,overcast clouds
